CIDADE;INEP;NOME DA ESCOLA;EDICAO;CLASSIFICACAO;INICIAL;INTERMEDIARIO;FINAL;PROFICIENCIA
FORTALEZA;23080124;DURVAL AIRES JORNALISTA EMEF;2019;Critico;31;38;64;243
FORTALEZA;23259418;ESCOLA MUNICIPAL 11 DE AGOSTO;2018;Critico;35;37;46;248
FORTALEZA;23259418;ESCOLA MUNICIPAL 11 DE AGOSTO;2019;Critico;34;46;44;248
FORTALEZA;23259418;ESCOLA MUNICIPAL 11 DE AGOSTO;2022;Critico;44;37;39;240
FORTALEZA;23065192;ESCOLA MUNICIPAL ANGELICA GURGEL;2018;Critico;36;35;41;255
FORTALEZA;23065192;ESCOLA MUNICIPAL ANGELICA GURGEL;2019;Critico;36;44;44;252
FORTALEZA;23065192;ESCOLA MUNICIPAL ANGELICA GURGEL;2022;Critico;45;45;39;244
FORTALEZA;23215267;ESCOLA MUNICIPAL ANTONIO CORREIA LIMA;2018;Critico;35;33;37;245
FORTALEZA;23215267;ESCOLA MUNICIPAL ANTONIO CORREIA LIMA;2019;Critico;32;36;46;238
FORTALEZA;23215267;ESCOLA MUNICIPAL ANTONIO CORREIA LIMA;2022;Critico;47;42;37;245
FORTALEZA;23065621;ESCOLA MUNICIPAL ARI DE SA CAVALCANTE;2018;Critico;39;37;40;264
FORTALEZA;23065621;ESCOLA MUNICIPAL ARI DE SA CAVALCANTE;2019;Critico;32;41;42;247
FORTALEZA;23065621;ESCOLA MUNICIPAL ARI DE SA CAVALCANTE;2022;Critico;43;40;36;247
FORTALEZA;23065834;ESCOLA MUNICIPAL BARBARA DE ALENCAR;2018;Critico;34;32;45;239
FORTALEZA;23065834;ESCOLA MUNICIPAL BARBARA DE ALENCAR;2019;Critico;34;42;47;245
FORTALEZA;23065834;ESCOLA MUNICIPAL BARBARA DE ALENCAR;2022;Critico;45;46;39;238
FORTALEZA;23078766;ESCOLA MUNICIPAL CASIMIRO MONTENEGRO;2018;Critico;37;38;41;260
FORTALEZA;23078766;ESCOLA MUNICIPAL CASIMIRO MONTENEGRO;2019;Critico;31;40;43;239
FORTALEZA;23078766;ESCOLA MUNICIPAL CASIMIRO MONTENEGRO;2022;Critico;43;38;34;232
FORTALEZA;23242469;ESCOLA MUNICIPAL CATARINA LIMA DA SILVA;2018;Critico;31;31;38;238
FORTALEZA;23242469;ESCOLA MUNICIPAL CATARINA LIMA DA SILVA;2019;Critico;37;45;65;231
FORTALEZA;23242469;ESCOLA MUNICIPAL CATARINA LIMA DA SILVA;2022;Critico;38;49;47;233
FORTALEZA;23075155;ESCOLA MUNICIPAL CLAUDIO MARTINS;2018;Critico;36;35;42;255
FORTALEZA;23075155;ESCOLA MUNICIPAL CLAUDIO MARTINS;2019;Critico;30;41;41;241
FORTALEZA;23075155;ESCOLA MUNICIPAL CLAUDIO MARTINS;2022;Critico;37;43;31;235
FORTALEZA;23067390;ESCOLA MUNICIPAL CONCEICAO MOURAO;2018;Critico;32;30;39;233
FORTALEZA;23067390;ESCOLA MUNICIPAL CONCEICAO MOURAO;2019;Critico;31;55;52;244
FORTALEZA;23067390;ESCOLA MUNICIPAL CONCEICAO MOURAO;2022;Critico;47;39;41;232
FORTALEZA;23070137;ESCOLA MUNICIPAL CONEGO FRANCISCO PEREIRA DA SILVA;2018;Critico;31;31;42;234
FORTALEZA;23070137;ESCOLA MUNICIPAL CONEGO FRANCISCO PEREIRA DA SILVA;2019;Critico;30;45;36;230
FORTALEZA;23070137;ESCOLA MUNICIPAL CONEGO FRANCISCO PEREIRA DA SILVA;2022;Critico;45;41;36;233
FORTALEZA;23067543;ESCOLA MUNICIPAL CREUSA DO CARMO ROCHA;2018;Critico;30;36;45;257
FORTALEZA;23067543;ESCOLA MUNICIPAL CREUSA DO CARMO ROCHA;2019;Critico;33;40;42;232
FORTALEZA;23067543;ESCOLA MUNICIPAL CREUSA DO CARMO ROCHA;2022;Critico;34;25;37;232
FORTALEZA;23067691;ESCOLA MUNICIPAL CRISTO REDENTOR;2018;Critico;31;30;35;241
FORTALEZA;23067691;ESCOLA MUNICIPAL CRISTO REDENTOR;2019;Critico;30;39;40;235
FORTALEZA;23067691;ESCOLA MUNICIPAL CRISTO REDENTOR;2022;Critico;41;44;33;233
FORTALEZA;23529989;ESCOLA MUNICIPAL DE TEMPO INTEGRAL ALDEMIR MARTINS;2018;Intermediario;43;47;57;290
FORTALEZA;23529989;ESCOLA MUNICIPAL DE TEMPO INTEGRAL ALDEMIR MARTINS;2019;Intermediario;48;60;63;297
FORTALEZA;23529989;ESCOLA MUNICIPAL DE TEMPO INTEGRAL ALDEMIR MARTINS;2022;Intermediario;53;58;47;282
FORTALEZA;23078740;ESCOLA MUNICIPAL DE TEMPO INTEGRAL DIOGO VITAL DE SIQUEIRA;2018;Intermediario;42;54;71;291
FORTALEZA;23078740;ESCOLA MUNICIPAL DE TEMPO INTEGRAL DIOGO VITAL DE SIQUEIRA;2019;Intermediario;42;72;74;304
FORTALEZA;23078740;ESCOLA MUNICIPAL DE TEMPO INTEGRAL DIOGO VITAL DE SIQUEIRA;2022;Critico;52;50;41;264
FORTALEZA;23065265;ESCOLA MUNICIPAL DE TEMPO INTEGRAL DOM ANTONIO DE ALMEIDA LUSTOSA;2018;Critico;38;58;65;257
FORTALEZA;23065265;ESCOLA MUNICIPAL DE TEMPO INTEGRAL DOM ANTONIO DE ALMEIDA LUSTOSA;2019;Critico;39;53;79;244
FORTALEZA;23065265;ESCOLA MUNICIPAL DE TEMPO INTEGRAL DOM ANTONIO DE ALMEIDA LUSTOSA;2022;Critico;50;46;46;255
FORTALEZA;23070250;ESCOLA MUNICIPAL DE TEMPO INTEGRAL FILGUEIRAS LIMA;2018;Critico;41;36;47;265
FORTALEZA;23070250;ESCOLA MUNICIPAL DE TEMPO INTEGRAL FILGUEIRAS LIMA;2019;Critico;41;46;49;255
FORTALEZA;23070250;ESCOLA MUNICIPAL DE TEMPO INTEGRAL FILGUEIRAS LIMA;2022;Critico;52;50;40;261
FORTALEZA;23070846;ESCOLA MUNICIPAL DE TEMPO INTEGRAL GUIOMAR DA SILVA ALMEIDA;2019;Critico;39;53;50;239
FORTALEZA;23070846;ESCOLA MUNICIPAL DE TEMPO INTEGRAL GUIOMAR DA SILVA ALMEIDA;2022;Critico;45;45;41;243
FORTALEZA;23273747;ESCOLA MUNICIPAL DE TEMPO INTEGRAL HILDETE BRASIL DE SA CAVALCANTE;2019;Critico;45;57;60;247
FORTALEZA;23273747;ESCOLA MUNICIPAL DE TEMPO INTEGRAL HILDETE BRASIL DE SA CAVALCANTE;2022;Critico;47;45;40;245
FORTALEZA;23277564;ESCOLA MUNICIPAL DE TEMPO INTEGRAL JOSE AROLDO CAVALCANTE MOTA;2022;Critico;41;40;35;238
FORTALEZA;23272708;ESCOLA MUNICIPAL DE TEMPO INTEGRAL JOSE CARVALHO;2018;Critico;38;47;66;262
FORTALEZA;23272708;ESCOLA MUNICIPAL DE TEMPO INTEGRAL JOSE CARVALHO;2019;Critico;37;48;52;265
FORTALEZA;23272708;ESCOLA MUNICIPAL DE TEMPO INTEGRAL JOSE CARVALHO;2022;Critico;45;45;43;250
FORTALEZA;23275154;ESCOLA MUNICIPAL DE TEMPO INTEGRAL LAIS RODRIGUES DE ALMEIDA;2022;Critico;45;49;41;243
FORTALEZA;23275006;ESCOLA MUNICIPAL DE TEMPO INTEGRAL LEONEL DE MOURA BRIZOLA;2022;Critico;46;47;52;261
FORTALEZA;23277246;ESCOLA MUNICIPAL DE TEMPO INTEGRAL MARIA DA HORA;2022;Critico;44;41;36;242
FORTALEZA;23262613;ESCOLA MUNICIPAL DE TEMPO INTEGRAL MARIA DO SOCORRO ALVES CARNEIRO;2018;Critico;45;39;45;272
FORTALEZA;23262613;ESCOLA MUNICIPAL DE TEMPO INTEGRAL MARIA DO SOCORRO ALVES CARNEIRO;2019;Critico;35;55;49;261
FORTALEZA;23262613;ESCOLA MUNICIPAL DE TEMPO INTEGRAL MARIA DO SOCORRO ALVES CARNEIRO;2022;Critico;49;41;42;260
FORTALEZA;23272007;ESCOLA MUNICIPAL DE TEMPO INTEGRAL MARIA ODETE DA SILVA COLARES;2018;Critico;33;37;43;251
FORTALEZA;23272007;ESCOLA MUNICIPAL DE TEMPO INTEGRAL MARIA ODETE DA SILVA COLARES;2019;Critico;36;51;61;265
FORTALEZA;23272007;ESCOLA MUNICIPAL DE TEMPO INTEGRAL MARIA ODETE DA SILVA COLARES;2022;Critico;48;49;39;259
FORTALEZA;23271493;ESCOLA MUNICIPAL DE TEMPO INTEGRAL NOSSA SENHORA DE FATIMA;2018;Intermediario;46;48;59;301
FORTALEZA;23271493;ESCOLA MUNICIPAL DE TEMPO INTEGRAL NOSSA SENHORA DE FATIMA;2019;Intermediario;40;52;57;292
FORTALEZA;23271493;ESCOLA MUNICIPAL DE TEMPO INTEGRAL NOSSA SENHORA DE FATIMA;2022;Critico;52;53;43;271
FORTALEZA;23069015;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR ADEMAR NUNES BATISTA;2018;Critico;37;56;53;259
FORTALEZA;23069015;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR ADEMAR NUNES BATISTA;2019;Critico;36;53;56;248
FORTALEZA;23069015;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR ADEMAR NUNES BATISTA;2022;Critico;52;63;44;248
FORTALEZA;23277408;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR AGERSON TABOSA PINTO;2022;Critico;40;41;35;232
FORTALEZA;23264799;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR ALEXANDRE RODRIGUES DE ALBUQUERQUE;2018;Critico;35;51;86;263
FORTALEZA;23264799;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR ALEXANDRE RODRIGUES DE ALBUQUERQUE;2019;Intermediario;37;77;78;291
FORTALEZA;23264799;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR ALEXANDRE RODRIGUES DE ALBUQUERQUE;2022;Intermediario;53;74;76;276
FORTALEZA;23065028;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR ALVARO COSTA;2018;Critico;36;40;45;269
FORTALEZA;23065028;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR ALVARO COSTA;2019;Critico;38;62;56;256
FORTALEZA;23065028;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR ALVARO COSTA;2022;Critico;63;66;64;246
FORTALEZA;23065346;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR ANTONIO GIRAO BARROSO;2018;Intermediario;40;45;52;284
FORTALEZA;23065346;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR ANTONIO GIRAO BARROSO;2019;Critico;33;44;47;256
FORTALEZA;23065346;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR ANTONIO GIRAO BARROSO;2022;Critico;50;49;39;263
FORTALEZA;23259540;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR EDGAR LINHARES;2022;Critico;37;44;42;249
FORTALEZA;23259540;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR EDGAR LINHARES LIMA;2018;Critico;34;48;47;264
FORTALEZA;23259540;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR EDGAR LINHARES LIMA;2019;Critico;48;49;38;256
FORTALEZA;23275146;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR EXPEDITO PARENTE;2022;Critico;47;47;36;245
FORTALEZA;23331615;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR JOAQUIM FRANCISCO DE SOUSA FILHO;2018;Intermediario;40;45;71;299
FORTALEZA;23331615;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR JOAQUIM FRANCISCO DE SOUSA FILHO;2019;Intermediario;40;58;60;291
FORTALEZA;23331615;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR JOAQUIM FRANCISCO DE SOUSA FILHO;2022;Critico;52;59;42;273
FORTALEZA;23264780;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR JOSE JULIO DA PONTE;2019;Critico;43;52;50;273
FORTALEZA;23264780;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR JOSE JULIO DA PONTE;2022;Critico;50;54;47;272
FORTALEZA;23274930;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR PRISCO BEZERRA;2022;Critico;59;52;49;274
FORTALEZA;23069317;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSORA ANTONIETA CALS;2018;Critico;37;39;49;264
FORTALEZA;23069317;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSORA ANTONIETA CALS;2019;Critico;36;46;44;259
FORTALEZA;23069317;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSORA ANTONIETA CALS;2022;Critico;48;49;42;253
FORTALEZA;23259558;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSORA MARIA JOSE FERREIRA GOMES;2018;Critico;55;45;38;273
FORTALEZA;23259558;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSORA MARIA JOSE FERREIRA GOMES;2019;Critico;50;52;59;275
FORTALEZA;23259558;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSORA MARIA JOSE FERREIRA GOMES;2022;Critico;49;60;45;268
FORTALEZA;23272694;ESCOLA MUNICIPAL DELMA HERMINIA DA SILVA PEREIRA;2018;Critico;29;30;34;236
FORTALEZA;23272694;ESCOLA MUNICIPAL DELMA HERMINIA DA SILVA PEREIRA;2019;Critico;29;39;46;229
FORTALEZA;23272694;ESCOLA MUNICIPAL DELMA HERMINIA DA SILVA PEREIRA;2022;Muito Critico;36;37;29;224
